"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"abase","verb","to humiliate, degrade","To abase means to humiliate, degrade, so the group chose to abase before the problem became worse.","Unit 22"
"abate","verb","To decrease in force or intensity","To abate means to decrease in force or intensity, so the group chose to abate before the problem became worse.","Unit 28"
"abdicate","verb","to give up a position, usually one of leadership","To abdicate means to give up a position, usually one of leadership, so the group chose to abdicate before the problem became worse.","Unit 04"
"abduct","verb","to kidnap, take by force","To abduct means to kidnap, take by force, so the group chose to abduct before the problem became worse.","Unit 09"
"aberration","noun","something that differs from the norm","The word aberration refers to something that differs from the norm, and that meaning fits the scene.","Unit 42"
"abet","verb","to aid, help, encourage","To abet means to aid, help, encourage, so the group chose to abet before the problem became worse.","Unit 36"
"abhor","verb","to hate; to regard as horrible","To abhor means to hate; to regard as horrible, so the group chose to abhor before the problem became worse.","Unit 47"
"abject","adjective","wretched, pitiful","Someone who is abject is wretched, pitiful, and the character seemed exactly that.","Unit 36"
"abjure","verb","to reject, renounce","To abjure means to reject, renounce, so the group chose to abjure before the problem became worse.","Unit 17"
"abnegation","noun","denial of comfort to oneself","The word abnegation refers to denial of comfort to oneself, and that meaning fits the scene.","Unit 06"
"abort","verb","to give up on a half-finished project or effort","To abort means to give up on a half-finished project or effort, so the group chose to abort before the problem became worse.","Unit 06"
"abrogate","verb","to abolish, usually by authority","To abrogate means to abolish, usually by authority, so the group chose to abrogate before the problem became worse.","Unit 02"
"abscond","verb","to sneak away and hide","To abscond means to sneak away and hide, so the group chose to abscond before the problem became worse.","Unit 32"
"absolution","noun","freedom from blame, guilt, sin","The word absolution refers to freedom from blame, guilt, sin, and that meaning fits the scene.","Unit 12"
"abstain","verb","to freely choose not to commit an action","To abstain means to freely choose not to commit an action, so the group chose to abstain before the problem became worse.","Unit 46"
"abstemious","adjective","sparing in consumption, especially of food and drink","Someone who is abstemious is sparing in consumption, especially of food and drink, and the character seemed exactly that.","Unit 03"
"abstract","adjective","Conceptual, not concrete; difficult to understand without a tangible form","Someone who is abstract is conceptual, not concrete; difficult to understand without a tangible form, and the character seemed exactly that.","Unit 13"
"abstruse","adjective","hard to understand","Someone who is abstruse is hard to understand, and the character seemed exactly that.","Unit 26"
"abysmal","adjective","Appallingly or shockingly bad","Someone who is abysmal is appallingly or shockingly bad, and the character seemed exactly that.","Unit 42"
"accede","verb","to agree","To accede means to agree, so the group chose to accede before the problem became worse.","Unit 03"
"accentuate","verb","to stress, highlight","To accentuate means to stress, highlight, so the group chose to accentuate before the problem became worse.","Unit 05"
"accessible","adjective","easy to approach, obtain, or use","Someone who is accessible is easy to approach, obtain, or use, and the character seemed exactly that.","Unit 30"
"acclaim","noun","high praise","The word acclaim refers to high praise, and that meaning fits the scene.","Unit 12"
"accolade","noun","high praise, special distinction","The word accolade refers to high praise, special distinction, and that meaning fits the scene.","Unit 25"
"accommodating","adjective","helpful, obliging, polite","Someone who is accommodating is helpful, obliging, polite, and the character seemed exactly that.","Unit 07"
"accord","noun","an agreement","The word accord refers to an agreement, and that meaning fits the scene.","Unit 36"
"accordingly","adverb","In a way that is suitable or proper for the situation","She acted accordingly, meaning she behaved in a way that was in a way that is suitable or proper for the situation.","Unit 14"
"accost","verb","to confront verbally","To accost means to confront verbally, so the group chose to accost before the problem became worse.","Unit 26"
"accretion","noun","slow growth in size or amount","The word accretion refers to slow growth in size or amount, and that meaning fits the scene.","Unit 23"
"acerbic","adjective","biting, bitter in tone or taste","Someone who is acerbic is biting, bitter in tone or taste, and the character seemed exactly that.","Unit 08"
"acquiesce","verb","to agree without protesting","To acquiesce means to agree without protesting, so the group chose to acquiesce before the problem became worse.","Unit 27"
"acquire","verb","to come into possession of","To acquire means to come into possession of, so the group chose to acquire before the problem became worse.","Unit 45"
"acquisition","noun","The act of obtaining or acquiring something","The word acquisition refers to the act of obtaining or acquiring something, and that meaning fits the scene.","Unit 02"
"acrimony","noun","bitterness, discord","The word acrimony refers to bitterness, discord, and that meaning fits the scene.","Unit 18"
"acumen","noun","keen insight","The word acumen refers to keen insight, and that meaning fits the scene.","Unit 46"
"acute","adjective","sharp (1) The patient complained of acute pain in his lower right abdomen, leading the doctor to test for appendicitis. (2)","Someone who is acute is sharp (1) The patient complained of acute pain in his lower right abdomen, leading the doctor to test for appendicitis. (2), and the character seemed exactly that.","Unit 34"
"adamant","adjective","impervious, immovable, unyielding","Someone who is adamant is impervious, immovable, unyielding, and the character seemed exactly that.","Unit 27"
"adapt","verb","To modify or change to fit new conditions","To adapt means to modify or change to fit new conditions, so the group chose to adapt before the problem became worse.","Unit 06"
"adept","adjective","Highly skilled or proficient in a specific area","Someone who is adept is highly skilled or proficient in a specific area, and the character seemed exactly that.","Unit 21"
"adequate","adjective","Sufficient to meet a specific need or requirement","Someone who is adequate is sufficient to meet a specific need or requirement, and the character seemed exactly that.","Unit 38"
"adhere","verb","to stick to; to follow through","To adhere means to stick to; to follow through, so the group chose to adhere before the problem became worse.","Unit 21"
"admonish","verb","to caution, criticize, reprove","To admonish means to caution, criticize, reprove, so the group chose to admonish before the problem became worse.","Unit 20"
"adorn","verb","to decorate","To adorn means to decorate, so the group chose to adorn before the problem became worse.","Unit 40"
"adroit","adjective","highly skilled, especially with one's hands","Someone who is adroit is highly skilled, especially with one's hands, and the character seemed exactly that.","Unit 14"
"adulation","noun","excessive admiration","The word adulation refers to excessive admiration, and that meaning fits the scene.","Unit 20"
"adumbrate","verb","to sketch out in a vague way","To adumbrate means to sketch out in a vague way, so the group chose to adumbrate before the problem became worse.","Unit 40"
"advent","noun","The beginning or arrival of something notable","The word advent refers to the beginning or arrival of something notable, and that meaning fits the scene.","Unit 36"
"adversarial","adjective","Characterized by conflict or opposition","Someone who is adversarial is characterized by conflict or opposition, and the character seemed exactly that.","Unit 07"
"adversary","noun","an opponent or enemy","The word adversary refers to an opponent or enemy, and that meaning fits the scene.","Unit 14"
"adverse","adjective","antagonistic, unfavorable, dangerous","Someone who is adverse is antagonistic, unfavorable, dangerous, and the character seemed exactly that.","Unit 25"
"advocate","noun/verb","A person who publicly supports a cause; to publicly support","The word advocate refers to a person who publicly supports a cause; to publicly support, and that meaning fits the scene.","Unit 14"
"aerial","adjective","somehow related to the air","Someone who is aerial is somehow related to the air, and the character seemed exactly that.","Unit 45"
"aesthetic","adjective","Concerned with beauty or the appreciation of beauty","Someone who is aesthetic is concerned with beauty or the appreciation of beauty, and the character seemed exactly that.","Unit 05"
"affable","adjective","friendly","Someone who is affable is friendly, and the character seemed exactly that.","Unit 10"
"affluent","adjective","rich, wealthy","Someone who is affluent is rich, wealthy, and the character seemed exactly that.","Unit 33"
